GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RingBufferExample,at.jku.swtesting,RingBuffer.RingBufferIterator,4,38,0,4,1,6,1,5,1,3
RingBufferExample,at.jku.swtesting,RingBuffer,0,145,0,12,0,29,0,15,0,9
